offer_url,price,currency,num_images,street_address,description,city
https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-emilii-plater-1-pokoj-i2r4d6,,,47,"ul. Emilii Plater, Warszawa Śródmieście, mazowieckie","Zapraszam do zakupu unikatowej nieruchomości w samym sercu Warszawy. Emilii Plater 36 to wielofunkcyjny budynek mieszkalny wybudowany w 1958.  Budynek położony obok Pałacu Kultury i Nauki w bliskiej odległości od głównych punktów komunikacyjnych miasta. Najbliższa stacja metra (Rondo ONZ) położona jest w odległości około 300 metrów. W bliskiej okolicy zlokalizowane są liczne punkty usługowe, handlowe oraz lokale gastronomiczne. W odległości ok. 350 metrów od budynku znajduje się Muzeum Sztuki Nowoczesnej. Najbliższy park położony jest po przeciwnej stronie ulicy. Oferowana nieruchomość to: 
Mieszkanie o powierzchni 37,21 m², 4 piętro w 5-piętrowej kamienicy, Warszawa, Śródmieście, ul. Emilii Plater 36. Mieszkanie świeżo po remoncie generalnym, o bardzo funkcjonalnym układzie: 
• jasny wygodny hol 
•	otwarta nowoczesna kuchnia (w pełni wyposażona we wszystkie urządzenia: lodówka, kuchenka indukcja, piekarnik,  zmywarka oraz pralka w zabudowie ), 
• 1 duży pokój w pełni umeblowany obejmujący strefę dzienną oraz sypialnianą. Pomieszczenie można łatwo rozdzielić trwałą ścianką np. typu loftowego uzyskując odrębne pomieszczenia wg. własnego uznania. 
• łazienka z umywalką, kabiną prysznicową, toaletą i szafką (wystrój loftowy: biel / czerń, drewno) 
Całość wykończona w wysokim standardzie z wykorzystaniem bardzo dobrych materiałów. Atutem tego mieszkania jest widok na piękną panoramę Warszawy. Mieszkanie słoneczne, przytulne, w centrum miasta do kupienia w pełni umeblowane jak na zdjęciach. Możliwość zakupu również wraz z elementami wystroju typu: narzuty, poduchy, kwiaty, które widoczne są na zdjęciach, które są nowe , wg. uznania do decyzji kupującego).  
Budynek zadbany, czysta klatka schodowa, na piętrze tylko 2-3 lokatorów.  Elewacja budynku od strony ulicy została ostatnio odświeżona natomiast od strony podwórza – w planie. 
Mieszkanie z ogromnym potencjałem inwestycyjnym, idealne na wynajem, na start dla singla, dla pary itd. 
Mieszkanie gotowe do zamieszkania od zaraz bez konieczności ponoszenia kosztów remontów.  
Atuty nieruchomości i otoczenia: mnogość restauracji, kawiarni, sklepów, usług, banków. Bliskość: Dworca Centralnego, Pałacu Kultury, Złotych Tarasów. Świetna komunikacja: autobusy, tramwaje, metro ,dworzec kolejowy
 Oferta dodana bezpośrednio przez właściciela.",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-muranow-ul-mordechaja-anielewicza-3-pokojowe-d5h9g9,,,11,"ul. Mordechaja Anielewicza, Warszawa Muranów, mazowieckie","Przestronne 3-pokojowe mieszkanie w stanie do odświeżenia. Całkowita powierzchnia 54,3 m2. Cena 19 000 zł za m2, tj. 1 031 700 zł. 

Praktyczny układ - osobna kuchnia, dwie sypialnie i duży przechodni salon. Łazienka z prysznicem - wyremontowana w 2011. Instalacja elektryczna wymieniona w sypialniach oraz łazience. Okna plastikowe wymienione w 2011 roku. Nowe grzejniki płytowe z termostatami.

Mieszkanie dwustronne z dwoma balkonami. Ekspozycja wschód-zachód. 

Blok zarządzany przez prężną wspólnotę mieszkaniową. Budynek odremontowany, po termomodernizacji z wymianą instalacji CO.  Balkony wyremontowane. Do mieszkania przynależy wyremontowana piwnica. 

Winda od poziomu wejścia, bez schodów. 

Mieszkanie w bardzo atrakcyjnej lokalizacji i bardzo dobrze skomunikowane. W bezpośrednim sąsiedztwie przystanki tramwajowe i autobusowe, szkoła podstawowa, park oraz Muzeum POLIN i Pawiak. Park Krasińskich na piechotę ok 10 minut, 20 minut do Starego Miasta. Do metra Ratusz 15 minut na piechotę. 

Sprzedaż bezpośrednia od właściciela. Agencjom dziękujemy. Nie zgadzam się na wykorzystanie zdjęć i tekstu ogłoszenia bez uprzedniej zgody właściciela. 

Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego.",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-jozefa-chelmonskiego-2-pokojowe-g7v9y1,,,12,"ul. Józefa Chełmońskiego, Warszawa Ursus, mazowieckie","Mieszkanie z ogródkiem na dużej wysokości, dzięki czemu nie ma możliwości zajrzenia przez przechodniów. Brak bloków bezpośrednio przed oknami, widok na drzewa.
Mieszkanie 43,7 m2 składa się z:
- pokój z aneksem kuchennym 21,56m2
- łazienka 4,32m2
- sypialnia 12,53m2
- hall 5,29m2
- loggia
- ogródek ok. 30m2
Lokal znajduje się w Warszawie, dzielnica Ursus Skorosze przy ulicy Chełmońskiego.
Blok z 2005 roku, 6 piętrowy z windą, w pełni przystosowany dla osób niepełnosprawnych bądź wózków.
Nieruchomość znajduje się na strzeżonym osiedlu z pełnym monitoringiem. Osiedle z zadbanymi nasadzeniami (o roślinność dba firma ogrodnicza), na terenie osiedla dwa place zabaw oraz ogrodzone boisko ze sztuczną murawą. Miejsca parkingowe dostępne bezpośrednio na osiedlu- brak problemów ze znalezieniem miejsca, jest również możliwość wynajęcia miejsca na parkingu podziemnym. Osiedle z własną kotłownią,
Bezpośredni przy osiedlu znajduje się CENTRUM HANDLOWE SKOROSZE, piekarnie, sklepy, fitness, przedszkole, żłobek, przystanki autobusowe(178********,191,517,129). W niedalekiej odległości szkoła, szkoła tańca, basen, parki- w planach jest park bezpośrednio przy osiedlu.
WKD OPACZ-KOLONIA- 900m
PKP URSUS -1,2 km
PKP Włochy- 1,9 km

Możliwość zamiany mieszkania z dopłatą na większe/segment/dom w Warszawie lub do 15 km od Warszawy.
Oferta bezpośrednia. Pośrednikom dziękuję- współpraca możliwa jedynie z klientem.
ID: 1048700617",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,,11,"ul. Trzcinowa, Warszawa Włochy, mazowieckie",,warszawa
https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-panska-4-pokojowe-z9s1z4,,,20,"ul. Pańska, Warszawa Wola, mazowieckie","Dzień dobry!

Mam przyjemność zaprezentować apartament zlokalizowany blisko centrum przy ul. Pańska 96. Mieszkanie wykończone w stylu klasycznym z elementami nowoczesności przy użyciu wysokiej jakości materiałów. Lokal nadaje się do bezpośredniego zamieszkania, był odświeżany i jest w pełni wyposażony. Mieszkanie z trzystronną ekspozycją, jest bardzo ciche i jasne. Lokalizacji nie trzeba przedstawiać, w okolicy mamy absolutnie wszystko co niezbędne do codziennego życia. Ekspozycja północ-południe-zachód. 

W skład mieszkania wchodzi:
- salon 29,66mkw
- pokój 13,11mkw
- pokój 12,90mkw
- sypialnia 16,55mkw
- kuchnia 8,09mkw
- łazienka 6,40mkw
- łazienka 4,44mkw
- garderoba 3,53mkw
- hall 17,10mkw
- duża loggia 18,37mkw
- piwnica (dodatkowo płatna 20tyś)
- 2 miejsca postojowe (dodatkowo płatne 80tyś za sztukę)

Pełna własność. Brak problemów prawnych.

Można posiłkować się kredytem. Pomogę ze wszelkimi formalnościami.

Cena do negocjacji.

Gorąco zachęcam do kontaktu i oględzin mieszkania. Warto!

Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje przedstawione w naszych ofertach były aktualne i rzetelne. Informacje zawarte w ofercie uzyskano na podstawie oświadczeń sprzedających.",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-tomcia-palucha-2-pokojowe-x2q1h7,,,3,"ul. Tomcia Palucha, Warszawa Ursus, mazowieckie","Mieszkanie 2-pokojowe usytuowane na parterze  w 4-piętrowym bloku bez windy z 2000 roku -Warszawa, Ursus, ul. Tomcia Palucha.

Mieszkanie składa się z salonu, kuchni, sypialni, łazienki, przedpokoju, balkonu, a także komórki lokatorskiej - dodatkowo płatna 30 tys.

Osiedle bardzo zadbane, zielone, z placem zabaw dla dzieci.

Blisko znajdują się sklepy, Galeria Skorosze, przystanki autobusowe, szkoły, przedszkola oraz żłobki.

Czynsz miesięczny około 550 zł.

Możliwość wykorzystania mieszkania jako lokal usługowy ze względu na 2 wejścia. Jedno od strony patio.

Sobota i niedziela dyżur w biurze w godzinach 8:30 - 21:00. W razie jakichkolwiek pytań proszę dzwonić, wysłać SMS lub wysłać zapytanie na adres e-mail: , oddzwonimy. 
Treść ogłoszenia nie stanowi oferty w rozumieniu Kodeksu Cywilnego",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-wladyslawa-korotynskiego-2-pokojowe-d9n1g1,,,14,"ul. Władysława Korotyńskiego, Warszawa Ochota, mazowieckie","Sprzedam dwupokojowe mieszkanie znajdujące się przy ulicy Korotyńskiego na Warszawskiej Ochocie.
Drugie piętro 36 metrów z balkonem i piwnicą ( 4 m).
Mieszkanie po remoncie, na podłodze klepki, okna drewniane.
Cicha, spokojna okolica. 
Nie odpowiadam na SMS, kontakt wyłącznie telefoniczny.
Pośrednikom dziękuję 
Tel: 79*******33",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-jana-pawla-woronicza-2-pokojowe-e9i6o6,,,13,"ul. Jana Pawła Woronicza, Warszawa Mokotów, mazowieckie","Dzień dobry,
Mam przyjemność zaprezentować mieszkanie na sprzedaż, położone w jednej z najbardziej pożądanych lokalizacji Warszawy – na Mokotowie, przy ul. Woronicza 40. To idealna propozycja zarówno dla rodziny, jak i pod inwestycję.
Świetna komunikacja z centrum miasta oraz pełna infrastruktura miejska w zasięgu spaceru.

Podstawowe informacje:
Liczba pokoi: 2
Piętro: 3/3
Do mieszkania przynależy piwnica
Kupujący zwolniony z podatku PCC.

Stan budynku:
Budynek z lat 60., po przeprowadzonych remontach instalacji
Ocieplony blok z zadbanymi klatkami schodowymi
Spokojne, zielone otoczenie, mimo centralnej lokalizacji
Miejsca parkingowe w okolicy.

Rozkład mieszkania:
Salon z aneksem kuchennym – przestronna część dzienna z miejscem na stół jadalniany i strefę wypoczynku
Kuchnia w zabudowie, wyposażona w nowe AGD:
zmywarka 60 cm
piekarnik
lodówka
płyta indukcyjna
okap
Sypialnia – miejsce na łóżko dwuosobowe oraz szafkę nocną
Łazienka z WC – nowoczesna, komfortowa, z prysznicem, umywalką i zabudową stolarską
Przedpokój / korytarz – 2 duże, zabudowane szafy wnękowe, z miejscem na pralkę i suszarkę
Wszystkie okna mieszkania są usytułowane od strony północnej - mieszkanie jest widne i dobrze doświetlone światłem dziennym.

Zakres remontu:
Mieszkanie jest po generalnym remoncie, w którego skład wchodziły:
Wymiana instalacji elektrycznej, hydraulicznej i kanalizacyjnej
Gładzie, malowanie ścian
Nowe podłogi i listwy przypodłogowe
Nowe grzejniki i parapety
Kompletnie wykończona łazienka i WC
Nowe drzwi wewnętrzne i zewnętrzne
Kuchnia w zabudowie ze sprzętem AGD
Nowoczesne oświetlenie i elementy dekoracyjne
Materiały użyte do wykończeniowe są wysokiej jakości.

Media i opłaty:
Czynsz: ok. 400 zł (zawiera ogrzewanie, fundusz remontowy, eksploatację, zaliczkę na wodę i śmieci)
Ogrzewanie miejskie, ciepła/zimna woda z sieci – mieszkanie w pełni bezobsługowe
Dodatkowe opłaty: woda i śmieci – wg zużycia.

Lokalizacja – Mokotów, ul. Woronicza 40:
METRO – Wierzbno / Racławicka 500 m
AUTOBUSY i TRAMWAJE – 200 m
BIZNES – blisko Mordor, biurowce i centra biznesowe
ZIELEŃ – Park Arkadia oraz Pole Mokotowskie, tereny spacerowe
SKLEPY I USŁUGI – Galeria Mokotów, Lidl, Żabka, restauracje, kawiarnie
EDUKACJA – szkoły i przedszkola w okolicy.

Stan prawny:
Pełna własność
Księga wieczysta
Grunty uregulowane
Możliwość zakupu na kredyt.

Bardzo dziękuję Pośrednikom.",warszawa
https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-t2i4v5,,,7,"ul. Podgrodzie, Warszawa Bemowo, mazowieckie",,warszawa
https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-piotra-wysockiego-2-pokojowe-e5i8u4,,,8,"ul. Piotra Wysockiego, Warszawa Targówek, mazowieckie","2-pokojowe mieszkanie na Bródnie przy ul. Piotra Wysockiego w inwestycji o wysokim standardzie ""Rezydencja Liwska II""

BUDYNEK 
Mieszkanie znajduje się na 4 piętrze w 6 piętrowym budynku 

NIERUCHOMOŚĆ
Mieszkanie o powierzchni 37m2 składa się z:

- salonu z aneksem kuchennym, 
- sypialni, 
- łazienki. 

Powierzchnia dodatkowa:
- balkon

Czynsz wynosi 570zł.

Ekspozycja okien: wschód

*Jest możliwość dokupienia miejsca postojowego w garażu podziemnym od dewelopera.

Dach budynku stanowi miejsce rekreacji, dostępne dla wszystkich mieszkańców. Miejsca do grillowania, siłownia i miejsca do odpoczynku stanowią o wyjątkowości tej inwestycji.

OKOLICA
Nieruchomość znajduje się na Bródnie, przy ul. Piotra Wysockiego, w bardzo wygodnym i dobrze skomunikowanym punkcie. W najbliższej okolicy dostępne są sklepy oraz przystanki komunikacji miejskiej, co zapewnia łatwy dojazd w różne części miasta. Do stacji metra Bródno jest zaledwie 800 m, co znacząco podnosi komfort codziennego przemieszczania się.

Zapraszam na prezentację nieruchomości.

W razie zainteresowania prosimy o kontakt: 
,

Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.

Bezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową.

Na życzenie w ramach prezentacji nieruchomości możliwość  przeprowadzenia przez firmę budowlaną oceny stanu mieszkania i wycenę remontu.",warszawa
