offer_url,price,currency,num_images,street_address,description,city
https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-zgierska-1-pokoj-q7o9c6,,,16,"ul. Zgierska, Łódź Radogoszcz, łódzkie","Mieszkanie w stylu loftowym.
Mieści się na ulicy Zgierskiej 208.
W promieniu 50m znajdują się przystanki autobusowe oraz tramwajowe
200m- siłownia, sklep (Lidl)
2km- basen (Nowa Gdynia)
Powierzchnia to 15m2 + 7m2 antresoli
Mieszkanie jest w pełni wyposażone.
- Pralka
- Telewizor
- Kanapa
- Szafa oraz komoda
- Mikrofalówka
- Płyta indukcyjna",lodz
https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-piotrkowska-3-pokojowe-u3k7i8,,,1,"Piotrkowska, Łódź Śródmieście, łódzkie","Dwa lokale na sprzedaż razem do remontu. Jedno na I piętrze 93,71m2 drugie na drugim piętrze 43,88m2",lodz
https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-sukiennicza-2-pokojowe-c5y7h6,,,2,"ul. Sukiennicza, Łódź Bałuty, łódzkie","2 pokoje | 46,55 m² | balkon | do remontu | Łódź – Bałuty, ul. Sukiennicza

❗️Na sprzedaż mieszkanie o powierzchni 46,55 m², zlokalizowane przy ul. Sukienniczej 3 w Łodzi (Bałuty), na 3. piętrze w wieżowcu z windą.

Lokal do całkowitego remontu, idealny do aranżacji od podstaw.

✨️Układ mieszkania:

2 pokoje (jeden z balkonem),
oddzielna kuchnia,
łazienka,
pokoje rozkładowe.

✨️Infrastruktura w bezpośrednim sąsiedztwie (pieszo):

Biedronka (ul. Kowalska) – ok. 300 m 
Apteki – ok. 200–400 m

Szkoła Podstawowa nr 101
Szkoła Podstawowa nr 30 
Przedszkola i żłobki  w promieniu 500–800 m;

kawiarnie, śniadaniownie i restauracje w okolicy (m.in. rejon ul. Łagiewnickiej np.Caffe przy ulicy)

✨️Komunikacja miejska:

przystanki tramwajowe i autobusowe (ul. Łagiewnicka / Franciszkańska) 3–5 min pieszo

centrum Łodzi (Piotrkowska / Manufaktura): ok. 15–25 min komunikacją miejską.

✨️Dojazd samochodem:

szybki wyjazd na główne arterie miasta

autostrady A1 i A2 ok. 10–15 min jazdy (w zależności od natężenia ruchu).

Mieszkanie z dużym potencjałem, w dobrze skomunikowanej i w pełni funkcjonalnej części Bałut.


Zapraszam do kontaktu.
Biurom nieruchomości dziękuję.",lodz
https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-polnocna-2-pokojowe-d7j3u5,,,16,"ul. Północna, Łódź Bałuty, łódzkie","Sprzedam rozkładowe M3 w ścisłym centrum miasta (10 minut pieszo przez park od Manufaktury), przy ulicy Północnej.

Mieszkanie jest dwustronne (wschód-zachód), z dobrym rozkładem, o powierzchni 57,62 m2.

Budynek wybudowany na przełomie lat 50/60-tych jest po termomodernizacji, ma ocieplone ściany, wyremontowany i ocieplony dach. Budynek znajduje się w spokojnej i bezpiecznej okolicy, w bezpośrednim sąsiedztwie Parków Staromiejskiego i Helenowskiego, przy niedawno utworzonych Bulwarach Północnych.

Mieszkanie jest słoneczne, suche i bardzo ciepłe. Ogrzewanie z sieci miejskiej, a opłata za CO zawarta jest w czynszu (bez podzielników). Ciepła woda użytkowa jest dostarczana z miejskiej sieci ciepłowniczej.

Mieszkanie jest również bardzo ciche, nie słychać hałasów z zewnątrz. Mury są grube, wykonane z cegły.

Mieszkanie jest jasne i ustawne. Składa się z dwóch pokoi o powierzchniach około 30 m2 i 13 m2, kuchni, łazienki z toaletą oraz przedpokoju, z którego wchodzi się do wszystkich pomieszczeń. W przedpokoju znajduje się bardzo pojemna szafa wnękowa oraz równie pojemny pawlacz nad drzwiami wejściowymi.

Duży pokój ma część wydzieloną drzwiami przesuwanymi (wykonanymi z bezpiecznego szkła z aluminiowymi szprosami), którą można wykorzystać jako osobny, trzeci pokój urządzając w nim np. sypialnię czy gabinet.

Obszerna kuchnia ma powierzchnię około 8 m2, wyposażona jest w kuchenkę gazowo-elektryczną i zmywarkę. Jest też miejsce na stół i krzesła. Wszystkie urządzenia i zabudowa w meble kuchenne pozostają do wykorzystania dla przyszłego lokatora.

Łazienka wraz toaletą jest wyposażona w wannę, natrysk z parawanem, szafki i pralkę, które pozostają do wykorzystania dla przyszłego lokatora.

Mieszkanie znajduje się na piątym piętrze w pięciopiętrowym budynku bez windy. Jest położone w samym centrum miasta. Młodzi ludzie docenią bliskość uczelni, szkół, przedszkoli, parku i całą infrastrukturę Śródmieścia.

Zmotoryzowani, samochód mogą zaparkować na zamkniętym podwórku lub w strefie wytyczonej przez Miasto po uzyskaniu abonamentu Mieszkańca.

To idealna propozycja dla osób poszukujących komfortowego mieszkania w miłym otoczeniu, z dobrym dojazdem i dostępem do wszystkich udogodnień.

Wokół domu nie ma wysokich budynków, które zasłaniały by widok. Z okien rozpościera się panorama na Park Staromiejski oraz ulice pełne rabat róż i zieleni.

Do mieszkania przynależy komórka lokatorska oraz możliwość korzystania z obszernego strychu wspólnie z innymi lokatorami.

Czynsz ok. 600 zł obejmuje koszty administracji i utrzymania, centralne ogrzewanie, fundusz remontowy. Prąd, gaz, woda ciepła i zimna są opomiarowane.

Mieszkanie posiada świadectwo energetyczne.

Mieszkanie jest gotowe do wprowadzenia.",lodz
https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-pomorska-3-pokojowe-w1o4l5,,,22,"ul. Pomorska, Łódź Śródmieście, łódzkie","Zapraszam do zapoznania się z ofertą przestronnego, jasnego i niezwykle funkcjonalnego mieszkania, położonego w ścisłym centrum Łodzi, przy ul. Pomorskiej 115. To miejsce, które łączy wygodę miejskiego życia z komfortem codziennego użytkowania, stanowiąc idealną propozycję zarówno do zamieszkania, jak i pod inwestycję.
Mieszkanie o powierzchni 58 m² znajduje się na 4. piętrze w 6-piętrowym bloku z windą, co zapewnia wygodny dostęp oraz codzienny komfort. Lokal jest w pełni rozkładowy, niezwykle ustawny i doskonale doświetlony. Składa się z trzech niezależnych pokoi, z czego dwa posiadają bezpośrednie wyjście na balkon, co czyni przestrzeń jeszcze bardziej atrakcyjną i funkcjonalną.
Ogromnym atutem mieszkania jest przestronny przedpokój, który daje poczucie swobody już od progu. Kuchnia z oknem, wyposażona w meble w zabudowie, kuchenkę oraz duży, wygodny stół, stanowi idealne miejsce do wspólnego spędzania czasu. Lokal posiada aż dwie łazienki, co znacząco podnosi komfort codziennego życia - jedna z wanną, pralką i umywalką, druga z prysznicem oraz toaletą.
Każdy pokój został w pełni wyposażony - znajduje się w nim łóżko, biurko, szafka oraz pojemna szafa, dzięki czemu mieszkanie jest gotowe do zamieszkania lub wynajmu.
Prawdziwą perełką tej nieruchomości jest bardzo duży, szeroki balkon z imponującym widokiem na Rondo Solidarności, idealny do porannej kawy, relaksu po pracy lub wieczornego odpoczynku z widokiem na tętniące życiem miasto.
Mieszkanie w samym centrum Łodzi to doskonała propozycja dla osób ceniących miejski styl życia, a także idealna opcja inwestycyjna. Lokal znakomicie sprawdzi się zarówno pod wynajem na pokoje, jak i wynajem w całości, gwarantując stabilne zainteresowanie najemców.
Aby lepiej zaprezentować potencjał nieruchomości, mieszkanie zostało przygotowane w ramach usługi home stagingu. Aranżacja została stworzona specjalnie na potrzeby prezentacji i nie jest częścią oferty. Dzięki delikatnym elementom dekoracyjnym mogą Państwo wyobrazić sobie różne możliwości aranżacji przestrzeni.
Lokalizacja - wszystko w zasięgu ręki
Pomorska 115 to adres, który zapewnia doskonałą komunikację i dostęp do najważniejszych punktów miasta:
w bezpośrednim sąsiedztwie przystanki autobusowe i tramwajowe,
w pobliżu sklepy i punkty usługowe,
bardzo blisko uniwersytety,
szybki dojazd do Manufaktury - jednego z najważniejszych punktów rozrywkowo-handlowych w Łodzi.
To mieszkanie to połączenie świetnej lokalizacji, funkcjonalnego układu oraz ogromnego potencjału inwestycyjnego. Idealne miejsce, by zamieszkać lub bezpiecznie ulokować kapitał.
Angelika Sławińska
Ekspert Rynku Nieruchomości | Menedżer Zespołu
[numer]
[email]
SEMPRE NIERUCHOMOŚCI
ul. Inflancka 45, 91-848 Łódź
[www]
Zastanawiasz się w jaki sposób sfinalizować zakup tej nieruchomości ? Współpracujemy tylko ze sprawdzonymi doradcami finansowymi. Zapewnimy Ci bezpieczną transakcję. Rzeczy niemożliwe staną się możliwe! Jesteśmy z Klientami do samego końca sprzedaży.
Jesteśmy w systemie MLS. Współpracujemy ze wszystkimi Pośrednikami!",lodz
https://adresowo.pl/o/mieszkanie-lodz-ul-tatrzanska-2-pokojowe-a8t9v6,,,10,"ul. Tatrzańska, Łódź, łódzkie","2 pokoje | wysoki standard | meble na wymiar | niski blok | ul. Tatrzańska 91a  Na sprzedaż stylowe, w pełni wyposażone mieszkanie o powierzchni 36.24 m?,  położone na parterze niskiego bloku przy ul. Tatrzańskiej 91a.  Wnętrze zostało zaprojektowane z dbałością o każdy detal ? w wysokim  standardzie, z wykorzystaniem jakościowych materiałów oraz mebli  wykonanych na wymiar, które podkreślają elegancki i ponadczasowy  charakter nieruchomości. Mieszkanie łączy w sobie komfort codziennego  użytkowania z estetyką klasy premium.  Układ i wyposażenie mieszkania: Salon: ? rozkładana kanapa ? szafa ? stół z miejscem do spożywania posiłków ? szafka RTV ? przestrzeń dzienna urządzona w spójnej, eleganckiej stylistyce Sypialnia: ? wygodne łóżko podwójne ? pojemna szafa w zabudowie ? bezpośrednie wyjście na balkon, zapewniające komfort i dodatkową przestrzeń Kuchnia (oddzielna): ? nowoczesna zabudowa kuchenna wykonana na wymiar ? zmywarka oraz lodówka w zabudowie ? funkcjonalny układ zapewniający wygodę użytkowania Łazienka: ? nowoczesna strefa prysznica ? pralka w zabudowie ? estetyczne i praktyczne rozwiązania do przechowywania  Standard i atuty: ? wysoki standard wykończenia ? meble na wymiar w całym mieszkaniu ? roleta antywłamaniowa na balkonie ? parter w niskim bloku ? komfort, prywatność i wygoda ? mieszkanie gotowe do zamieszkania, bez dodatkowych nakładów finansowych  Dlaczego warto? ? eleganckie wnętrze wykończone w wysokim standardzie ? pełne wyposażenie w cenie ? idealne do zamieszkania lub wynajmu ? oddzielna kuchnia z zabudowanym sprzętem AGD ? funkcjonalny, przemyślany układ pomieszczeń ? balkon z roletą antywłamaniową ? uniwersalny metraż 36.24 m? ? doskonały zarówno dla singla, pary, jak i inwestora ? spokojna, dobrze skomunikowana lokalizacja  Lokalizacja: Ul. Tatrzańska to ceniona część miasta, oferująca dostęp do pełnej infrastruktury miejskiej, komunikacji oraz terenów zielonych. Mieszkanie stanowi idealną propozycję dla osób poszukujących  komfortowej, gotowej do wprowadzenia przestrzeni w wysokim standardzie  lub bezpiecznej inwestycji.  Zapraszam do kontaktu i na prezentację.",lodz
https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-mjr-eugeniusza-nurta-kaszynskiego-2-pokojowe-x6u7t5,,,1,"ul. mjr. Eugeniusza Nurta-Kaszyńskiego, Łódź Widzew, łódzkie","OGŁOSZENIE BEZPOŚREDNIE - BEZ PROWIZJI

Zlokalizowane na idealnym pierwszym piętrze, to 61,8-metrowe mieszkanie jest kwintesencją przemyślanego designu.
Zapomnij o ciasnych kuchniach - tutaj sercem domu jest spektakularna, 16-metrowa kuchnia-jadalnia. Jej unikalny charakter tworzą meble wykonane z prawdziwego drewna papirus. To materiał nie tylko piękny i egzotyczny, ale przede wszystkim naturalnie odporny na wilgoć i upływ czasu. To kuchnia dla kogoś, kto szuka czegoś więcej niż standardowe rozwiązania.

BEZKOMPROMISOWA JAKOŚĆ I BEZPIECZEŃSTWO
To mieszkanie zostało przygotowane z myślą o dekadach spokojnego użytkowania.
Częściowo wymieniona instalacja elektryczna oraz nowa instalacja wodno-kanalizacyjna. To fundament, który daje Ci poczucie bezpieczeństwa i oszczędza trudu remontów.
Łazienka i WC wykończone wysokiej jakości włoskimi płytkami.
Dwa ogromne pokoje (16 i 22 m kw.) oferują przestrzeń, jakiej nie znajdziesz w nowym budownictwie. Dodatkowo ogromne szafy w zabudowie sprawią, że przechowywanie staje się niewidoczne i uporządkowane.
Duży balkon to Twoja prywatna enklawa spokoju, a rowerownia w budynku ucieszy każdego fana aktywnego życia. Jeżeli posiadasz samochód bez obaw znajdziesz miejsce do zaparkowania auta.

LOKALIZACJA, KTÓRA UŁATWIA ŻYCIE
Ul. Nurta-Kaszyńskiego to adres, który łączy wszystko, co najlepsze na Widzewie:
Zielone sąsiedztwo: Kilka minut spacerem dzieli Cię od Parku Podolskiego z tężniami solankowymi, nowoczesnym torowiskiem dla rolkarzy i rozległymi terenami do biegania.
Komunikacyjny Hub: Szybki dojazd do centrum Łodzi (15 min) oraz bliskość dworca PKP Widzew - idealne dla podróżujących.
Pełna Infrastruktura: Szkoły, przedszkola, CH Tulipan i liczne punkty usługowe w zasięgu ręki.

Jeżeli jesteś zainteresowany to koniecznie.
",lodz
https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-plocka-2-pokojowe-n3c3e0,,,19,"ul. Płocka, Łódź Górna, łódzkie","[bezpośrednio] Sprzedam mieszkanie własnościowe, Łódź Górna, ul. Płocka.
Powierzchnia 31,43m2.
Dostępne od zaraz, do własnej aranżacji.
Pośrednikom i biurom nieruchomości - serdecznie dziękuję za kontakt.
Mieszkanie oddane do użytku jako stan deweloperski w 2021 roku.
Wymieniona instalacja elektryczna oraz gazowa.
Ogrzewanie gazowe.
Mieszkanie znajduje się na pierwszej kondygnacji budynku dwupoziomowego (kamienicy).
Na każdym z poziomów są 4 mieszkania.
Teren wspólnoty jest ogrodzony (szlaban wjazdowy na pilota) oraz monitorowany (4 kamery na zewnątrz i 3 w budynku - dostęp tylko dla właścicieli).
Do mieszkania przypisane jest miejsce parkingowe, zaraz przy wejściu do budynku.
Mieszkanie dostępne od zaraz - do własnej aranżacji.
Mieszkanie składa się z salonu z kuchnią, oddzielnej sypialni, małego korytarza, łazienki z WC i dużym prysznicem (wejście z poziomu podłogi - bez brodzika).
Kuchnia w zabudowie (IKEA), wyposażona w sprzęt AGD:
- lodówko zamrażarka w zabudowie
- płyta indukcyjna 4 palnikowa
- piekarnik elektryczny
- zmywarka 45 w zabudowie
- zlewozmywak
W łazience prysznic, WC, zlew z szafką wiszącą, lustro, piec dwufunkcyjny Junkers (po corocznym przeglądzie, czujnik czadu).
W mieszkaniu zamontowane są moskitiery oraz rolety typu dzień-noc.
Na podłodze ułożone panele.
Mieszkanie jest ciche, ciepłe i nie nagrzewa się latem (północna ekspozycja okien).
Duże okna dostarczają optymalną ilość światła dziennego.
Okolica ul. Płockiej jest bardzo dobrze skomunikowana z każdą częścią miasta.
W pobliżu znajdują się m.in.:
- od strony ulicy Śmigłego Rydza - sklep Biedronka, linia tramwajowa nr 14 (Łódź Dworzec Dąbrowa - Retkinia przez ścisłe centrum (Stajnia Jednorożców, Galeria Łódzka, ul. Piotrkowska) oraz autobusowa Z13,
- Park Podolski,
- od strony ulicy Kilińskiego - sklep Żabka, linie tramwajowe 1, 5, 7, 8, linie autobusowe (w tym nocne N3A, N3B),
- Urząd Pocztowy (350m),
- skrzyżowanie Kilińskiego - Dąbrowskiego - kompleks handlowy ""Górna Corner"" (Biedronka, Lidl, sushi), Kaufland, Rossmann, Jysk, apteki oraz dodatkowe linie tramwajowe i autobusowe,
- skrzyżowanie Kilińskiego - Przybyszewskiego - linie autobusowe nocne oraz linie tramwajowe w stronę Widzewa, Bałut/Radogoszcz,
- Miejskie Centrum Medyczne im. dr Karola Jonschera (15 minut piechotą) - wyjątkowy widok na Księży Młyn.
Nie czekaj! Umów się na prezentację już dziś!",lodz
https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-urzednicza-2-pokojowe-n6l7e9,,,7,"ul. Urzędnicza, Łódź Bałuty, łódzkie","Witam.
Na sprzedaż dwupokojowe mieszkanie do remontu - Łódź, Bałuty (ul. Urzędnicza).

O powierzchni 44 m², zlokalizowane w wieżowcu na 1. piętrze, przy ul. Urzędniczej w Łodzi.

W skład mieszkania wchodzą:
dwa pokoje,
kuchnia,
łazienka,
osobne WC,
przedpokój,
balkon,
komórka lokatorska.

Z okien oraz balkonu rozciąga się widok na lasek, co zapewnia ciszę i spokój.

Miejsca parkingowe dostępne wyłącznie dla mieszkańców bloku - wjazd po okazaniu identyfikatora.

Bardzo dobra lokalizacja dla osób szukających mieszkania na Bałutach, w spokojnej okolicy, a jednocześnie blisko centrum miasta.
W pobliżu przystanki komunikacji miejskiej przy ul. Zgierskiej i Limanowskiego.

W okolicy:
Rynek Bałucki - ok. 400 m
Manufaktura - ok. 1 km
Kaufland - ok. 200 m
szkoły, przedszkola, parki.

Zapraszam do kontaktu
Michał ",lodz
https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-a3j9u6,,,19,"ul. Piotrkowska, Łódź Śródmieście, łódzkie","Oferujemy na sprzedaż rozkładowe 3 pokojowe mieszkanie usytuowane na 2 piętrze w 12-piętrowym wieżowcu, przy ul. Piotrkowskiej. Lokal gotowy na własną aranżację z balkonem od strony salonu i komórką lokatorską 3.10m² na tym samym poziomie. 
Zadbana klatka schodowa, 2 nowe windy od poziomu 0, spokojne otoczenie i dobra funkcjonalność dla rodziny lub pod wynajem.
Szczegóły nieruchomości:
Łączna powierzchnia zgodna z KW z pomieszczeniem gospodarczym-3m):72.72 m²
Piętro: 2/12
Stan prawny- pełna własność z Księgą Wieczystą
Księga Wieczysta bez obciążeń i roszczeń. 
Rozkład pomieszczeń:
• Duży salon z wyjściem na balkon (za oknem dużo zieleni).
• Dwie sypialnie
• Oddzielna kuchnia - zamykana z oknem
• Duża łazienka z wanną
• Osobno WC
• Przestronny przedpokój
• Komórka lokatorska na piętrze (3,10m)
Stan nieruchomości:
• Do remontu lub odświeżenia
• Okna PCV
• Drzwi antywłamaniowe 
• Instalacja elektryczna starego typu
Budynek:
• Zadbana i czysta klatka schodowa - częściowo odnowiona
• 2 nowe windy Schindlera (2023r) od poziomu 0 (idealne dla niepełnosprawnych i rodzin z wózkami dziecięcymi). Uwaga! Jako nieliczne - windy posiadają ozonowanie co czyni je bezpiecznymi w codziennym użytkowaniu. 
• Przed budynkiem ogromny parking monitorowany za sztabem w cenie 115 zł/mc 
Czynsz - Około 1150 zł przy 2 osobach (w kwocie znajdują się zaliczki na media, koszty utrzymania części wspólnych, fundusz remontowy, wywóz śmieci, woda, ogrzewanie).
W pobliżu:
• Przystanek komunikacji miejskiej - 200m
• Sklep Żabka 200m 
• Ogrody Geyera - 400 m
• Przedszkole nr.44 - 400 m
• Apteka 24h - 400 m
• Wojewódzki Specjalistyczny Szpital im. Mikołaja Pirogowa- 600 m
• Park im. ks. bp. Michała Klepacza- 600 m
• Rynek Górniak - 1000 m
• Galeria Łódzka 1500m
Podsumowanie:
Mieszkanie jest super przestronne i posiada bardzo funkcjonalny układ.
Idealne dla rodziny lub inwestora.
Ogromnym plusem tego miejsca jest możliwość życia w samym centrum Łódzkich wydarzeń oraz niesamowicie dobra komunikacja z każdym miejscem naszego Miasta!
Możliwość wynajmu miejsc parkingowych w bardzo dobrej cenie od Spółdzielni Mieszkaniowej ""Za Skwerem"" i problem z parkowaniem w Centrum również rozwiązany.
Pomoc w finansowaniu:
Oferujemy wsparcie w uzyskaniu kredytu hipotecznego we współpracy z doświadczonymi doradcami.
Zapraszamy do współpracy biura nieruchomości oraz pośredników.
Informacja prawna: 
Powyższe informacje nie stanowią oferty handlowej w rozumieniu art. 66 § 1 Kodeksu Cywilnego.
Zapraszam do kontaktu oraz oglądania na żywo.
Mieszkanie gotowe do sprzedaży ""od ręki""
Podana cena jest do rozsądnej negocjacji.
Katarzyna Kozłowska
Specjalista ds. Nieruchomości
SellWell Nieruchomości Sp. z o.o.
[numer]",lodz
